ID,Name,Ticker,Market Cap,24h Volume
bitcoin,Bitcoin,btc,841735458687,12949356612.0
ethereum,Ethereum,eth,279894788156,7583338972.0
tether,Tether,usdt,96147605353,25838553944.0
binancecoin,BNB,bnb,46679514342,520141270.0
solana,Solana,sol,41408261036,1640421489.0
ripple,XRP,xrp,27353915592,779114842.0
usd-coin,USDC,usdc,27034706000,4516274486.0
staked-ether,Lido Staked Ether,steth,22169791861,16230533.0
cardano,Cardano,ada,17409809029,271725942.0
avalanche-2,Avalanche,avax,12571638839,395496627.0
dogecoin,Dogecoin,doge,11211778444,270028694.0
chainlink,Chainlink,link,11153250045,1033587967.0
tron,TRON,trx,10752619837,370689476.0
polkadot,Polkadot,dot,8899750974,152469751.0
matic-network,Polygon,matic,7340742152,227715163.0
the-open-network,Toncoin,ton,7089852675,11823864.0
wrapped-bitcoin,Wrapped Bitcoin,wbtc,6767300704,199456449.0
internet-computer,Internet Computer,icp,5506125517,125294936.0
shiba-inu,Shiba Inu,shib,5245572429,73712446.0
litecoin,Litecoin,ltc,5041750043,195259533.0
dai,Dai,dai,4859253433,115058694.0
uniswap,Uniswap,uni,4640945923,66018233.0
bitcoin-cash,Bitcoin Cash,bch,4634688736,135298117.0
leo-token,LEO Token,leo,3764500117,1249631.0
ethereum-classic,Ethereum Classic,etc,3520952931,150893612.0
cosmos,Cosmos Hub,atom,3498215670,87223065.0
optimism,Optimism,op,3100916994,245113783.0
stellar,Stellar,xlm,3081376767,53679133.0
bittensor,Bittensor,tao,3080794002,30307876.0
immutable-x,Immutable,imx,3034085727,93304458.0
aptos,Aptos,apt,2924961499,95582306.0
okb,OKB,okb,2898474358,4516057.0
celestia,Celestia,tia,2874542858,104665876.0
near,NEAR Protocol,near,2815622806,105532762.0
injective-protocol,Injective,inj,2786764201,119249409.0
first-digital-usd,First Digital USD,fdusd,2562214745,3259111231.0
monero,Monero,xmr,2557253360,126602983.0
filecoin,Filecoin,fil,2522880796,93134447.0
lido-dao,Lido DAO,ldo,2442187445,71464007.0
